,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
81,FoxNews,Sun Jan 28 16:50:38 +0000 2018,".@AreuCathy: ""@POTUS continually calls @CNN 'fake news'... He repeatedly mocks CNN and says these horrible things a… https://t.co/qaET2e1kYM",-0.8625,0.0,0.39,0.61,19
82,FoxNews,Sun Jan 28 16:50:26 +0000 2018,Doomsday Clock reaches 2 minutes to midnight - closest point to nuclear annihilation since Cold War https://t.co/wwU8zEd4jG,-0.8176,0.057,0.368,0.574,18
83,FoxNews,Sun Jan 28 16:42:48 +0000 2018,"Homeless victim's sketch helps cops catch suspected attacker, police say https://t.co/BqYfYqBmor",-0.4588,0.16,0.346,0.494,17
84,FoxNews,Sun Jan 28 16:27:17 +0000 2018,".@AreuCathy: ""@POTUS continually calls @CNN 'fake news'... He repeatedly mocks CNN and says these horrible things a… https://t.co/hgdDW8KQn4",-0.8625,0.0,0.39,0.61,16
85,FoxNews,Sun Jan 28 16:17:30 +0000 2018,"Pakistan's 'Killer Mountain' claims life of Polish climber, French mountaineer rescued from slopes https://t.co/e8vpmvu71p",-0.3612,0.147,0.225,0.628,15
86,FoxNews,Sun Jan 28 16:06:20 +0000 2018,".@MZHemingway: ""Again, [@POTUS] didn't fire someone who he's legally allowed to fire, and this is being treated as… https://t.co/4Kjf1JRPb4",0.538,0.255,0.0,0.745,14
87,FoxNews,Sun Jan 28 16:03:01 +0000 2018,"Tune in for live coverage of President Trump's first State of the Union address, anchored by @BretBaier &amp;… https://t.co/tXUV6d5niK",0.0,0.0,0.0,1.0,13
88,FoxNews,Sun Jan 28 16:01:38 +0000 2018,".@DiamondandSilk: ""Liberals - they're trying to use their influence and their power to... sway people to continue t… https://t.co/e8VhZT8gG2",0.0,0.0,0.0,1.0,12
89,FoxNews,Sun Jan 28 15:54:05 +0000 2018,".@cathymcmorris: ""I was at @Starbucks this last week in Spokane... and they were so excited in the increased benefi… https://t.co/ec6LzvHcaw",0.6389,0.225,0.0,0.775,11
90,FoxNews,Sun Jan 28 15:52:11 +0000 2018,"President @realDonaldTrump responded this morning to recent criticism from rap mogul Jay-Z, who called him a ""super… https://t.co/BiVkRRdawv",-0.4404,0.0,0.153,0.847,10
91,FoxNews,Sun Jan 28 15:47:10 +0000 2018,".@GovMikeHuckabee: ""If this were about DACA, Chuck Schumer would've cried but he would've cried tears of delight an… https://t.co/fCu48ES2RD",-0.0516,0.192,0.271,0.538,9
92,FoxNews,Sun Jan 28 15:40:27 +0000 2018,".@cathymcmorris: ""We're going to run on our record [in 2018] - a record of results."" #SundayFutures @MariaBartiromo https://t.co/uDbt2VFjov",0.0,0.0,0.0,1.0,8
93,FoxNews,Sun Jan 28 15:38:55 +0000 2018,".@cathymcmorris: ""We need a DACA deal and we need @TheDemocrats to join us."" #SundayFutures @MariaBartiromo https://t.co/D184N3fyly",0.296,0.136,0.0,0.864,7
94,FoxNews,Sun Jan 28 15:38:24 +0000 2018,".@cathymcmorris: ""We do have to be aware of the continued accumulation of debt in this country."" #SundayFutures… https://t.co/GuQCtYafIm",-0.3612,0.0,0.128,0.872,6
95,FoxNews,Sun Jan 28 15:37:01 +0000 2018,".@cathymcmorris: ""Most Americans want to see us move forward with an infrastructure package."" #SundayFutures… https://t.co/AP16iUfJuj",0.1477,0.101,0.0,0.899,5
96,FoxNews,Sun Jan 28 15:36:09 +0000 2018,".@cathymcmorris: ""I was at @Starbucks this last week in Spokane... and they were so excited in the increased benefi… https://t.co/v01BHglc6G",0.6389,0.225,0.0,0.775,4
97,FoxNews,Sun Jan 28 15:28:00 +0000 2018,"Justice Ginsburg to skip State of the Union, signals she has no plans to retire https://t.co/MzmrqYWTFY",0.296,0.173,0.112,0.714,3
98,FoxNews,Sun Jan 28 15:20:19 +0000 2018,".@GovMikeHuckabee: ""We're seeing an unprecedented growth in the economy... and that's in advance of the tax bill go… https://t.co/K5agcamuc4",0.3818,0.126,0.0,0.874,2
99,FoxNews,Sun Jan 28 15:18:44 +0000 2018,".@GovMikeHuckabee: ""@TheDemocrats theme for this election is going to be: 'Who are you going to believe - Democrats… https://t.co/5L4EJpnICh",0.0,0.0,0.0,1.0,1
100,CBS,Sun Jan 28 21:14:24 +0000 2018,Things are heating up at The #GRAMMYs! How about a little sip of Ice-T? @FINALLEVEL and @cocosworld hit up the red… https://t.co/P2pPodrhtS,0.0,0.0,0.0,1.0,100
101,CBS,Sun Jan 28 20:54:17 +0000 2018,"You don't want to miss these all-star performances feat. @BrunoMars with @IamCardiB, @EltonOfficial with… https://t.co/VPz5G7Yzm7",0.0572,0.092,0.078,0.83,99
102,CBS,Sun Jan 28 20:45:20 +0000 2018,"If you ask @LisaLoeb, being nominated for a #GRAMMY gives you a little extra something special. https://t.co/uOWVynjCPu",0.3477,0.148,0.0,0.852,98
103,CBS,Sun Jan 28 20:35:39 +0000 2018,"Being nominated for a GRAMMY, doesn’t change much for @DannyGokey! #GRAMMYs https://t.co/JNy0Q6sTpZ",0.0,0.0,0.0,1.0,97
104,CBS,Sun Jan 28 20:32:44 +0000 2018,We’re going to party like it’s @marvinsapp’s birthday at The #GRAMMYs! https://t.co/QhWz0hoe7u,0.6696,0.355,0.0,0.645,96
105,CBS,Sun Jan 28 18:57:11 +0000 2018,"Cheers! The countdown is on to The 60th Annual #GRAMMYs, airing tonight on CBS. Get ready to celebrate with a signa… https://t.co/3yZ7mvBVNC",0.8622,0.348,0.0,0.652,95
106,CBS,Sun Jan 28 16:00:08 +0000 2018,GRAMMY nominee @LuisFonsi describes how his chart-topping hit with @JustinBieber and @Daddy_Yankee was meant to be!… https://t.co/GQ6GxXMPPE,0.0,0.0,0.0,1.0,94
107,CBS,Sun Jan 28 14:30:04 +0000 2018,GRAMMY-nominated rapper @Logic301 is excited to perform live during Music's Biggest Night®! Watch The 60th Annual… https://t.co/EwbLezXIro,0.4003,0.144,0.0,0.856,93
108,CBS,Sun Jan 28 13:00:06 +0000 2018,"To enjoy past iconic GRAMMY R&amp;B performances from artists like @johnlegend, start your free trial and watch only on… https://t.co/jSTrKlzqOZ",0.8402,0.346,0.0,0.654,92
109,CBS,Sun Jan 28 12:00:07 +0000 2018,"Country music star @MarenMorris is performing at the #GRAMMYs tonight! Tune in at 7:30pm ET / 4:30pm PT on CBS, or… https://t.co/97AStLeGRF",0.0,0.0,0.0,1.0,91
110,CBS,Sun Jan 28 02:37:51 +0000 2018,"Go backstage at the #GRAMMYs rehearsals with performers @OfficialSting, @EltonOfficial, Logic and more! Don't miss… https://t.co/NYMJXOYsQE",0.0,0.0,0.0,1.0,90
111,CBS,Sat Jan 27 23:30:02 +0000 2018,#CBS and the @HolocaustMuseum honor the victims of the Nazi Holocaust on International Holocaust Remembrance Day.… https://t.co/Xm6c4Jgiyy,0.2263,0.156,0.112,0.732,89
112,CBS,Sat Jan 27 22:48:16 +0000 2018,"Tomorrow, @LuisFonsi and @Daddy_Yankee will take the stage to perform their GRAMMY-nominated hit, 'Despacito'! Don'… https://t.co/5FTE9syKuk",0.0,0.0,0.0,1.0,88
113,CBS,Sat Jan 27 22:00:05 +0000 2018,"#ThatsHarassment: 6 timely short films starring @CynthiaNixon, @michaeljkellyjr, @gracegummer, @JosephSikora4,… https://t.co/6CVoUPIRRH",0.0,0.0,0.0,1.0,87
114,CBS,Sat Jan 27 20:53:53 +0000 2018,"Host James Corden can't wait to see performances by @LadyGaga, @U2, @KendrickLamar, @SamSmithWorld and more top art… https://t.co/h9oSkOMZrU",0.2716,0.11,0.0,0.89,86
115,CBS,Sat Jan 27 15:00:04 +0000 2018,Acceptance is about understanding who you are. Don't miss @RitaOra talk live about the inspiration behind her lates… https://t.co/qJhQ8LO5fe,0.781,0.329,0.0,0.671,85
116,CBS,Sat Jan 27 14:00:03 +0000 2018,Can you guess which artists have won all of these #GRAMMYs? Find out who will win big this year at The 60th Annual… https://t.co/EGQ3ORlrua,0.8176,0.254,0.0,0.746,84
117,CBS,Sat Jan 27 13:00:06 +0000 2018,Love @carrieunderwood and @KeithUrban? Watch their memorable collaboration plus other past iconic GRAMMY country pe… https://t.co/rjwwdxmGwX,0.6369,0.219,0.0,0.781,83
118,CBS,Sat Jan 27 12:00:02 +0000 2018,"Tomorrow, celebrate sixty years of #GRAMMYs with music's biggest stars! Stream The 60th Annual GRAMMY Awards® live… https://t.co/1eWYEsP3N8",0.6114,0.19,0.0,0.81,82
119,CBS,Sat Jan 27 00:37:07 +0000 2018,Don't miss Bruno Mars: 24K Magic Live at the Apollo tonight at 8/7c on CBS and CBS All Access! #BrunoMars https://t.co/KeszQoPZTG,0.1867,0.08,0.0,0.92,81
120,CBS,Sun Jan 28 21:14:24 +0000 2018,Things are heating up at The #GRAMMYs! How about a little sip of Ice-T? @FINALLEVEL and @cocosworld hit up the red… https://t.co/P2pPodrhtS,0.0,0.0,0.0,1.0,80
121,CBS,Sun Jan 28 20:54:17 +0000 2018,"You don't want to miss these all-star performances feat. @BrunoMars with @IamCardiB, @EltonOfficial with… https://t.co/VPz5G7Yzm7",0.0572,0.092,0.078,0.83,79
122,CBS,Sun Jan 28 20:45:20 +0000 2018,"If you ask @LisaLoeb, being nominated for a #GRAMMY gives you a little extra something special. https://t.co/uOWVynjCPu",0.3477,0.148,0.0,0.852,78
